,1,2
9394,9388,9194
9393,9386,9195
9388,9385,9197
9386,9384,9201
9385,9382,9203
9384,9378,9205
9382,9377,9206
9378,9375,9210
9377,9374,9213
9375,9373,9214
9374,9372,9220
9373,9370,9221
9372,9367,9222
9370,9365,9228
9367,9362,9231
9365,9356,9237
9362,9354,9239
9356,9351,9241
9354,9348,9246
9351,9346,9247
9348,9343,9249
9346,9342,9251
9343,9340,9252
9342,9339,9254
9340,9337,9258
9339,9335,9259
9337,9334,9261
9335,9332,9263
9334,9330,9276
9332,9322,9281
9330,9315,9283
9322,9314,9286
9315,9311,9292
9314,9303,9297
9311,9302,9303
9303,9297,9307
9302,9292,9312
9297,9289,9319
9292,9285,9320
9289,9283,9322
9285,9282,9325
9283,9276,9328
9282,9272,9330
9276,9271,9338
9272,9267,9339
9271,9266,9341
9267,9262,9344
9266,9258,9347
9262,9257,9352
9258,9256,9355
9257,9255,9356
9256,9248,9360
9255,9244,9361
9248,9242,9366
9244,9241,9369
9242,9238,9374
9241,9232,9380
9238,9229,9386
9232,9222,9388
9229,9220,9389
9222,9218,9390
9220,9216,9391
9218,9214,9398
9216,9205,9409
9214,9198,9410
9205,9196,9416
9198,9190,9417
9196,9188,9419
9190,9185,9424
9188,9184,9430
9185,9179,9431
9184,9177,9432
9179,9174,9433
9177,9173,9434
9174,9170,9436
9173,9169,9437
9170,9168,9445
9169,9165,9446
9168,9163,9448
9165,9159,9449
9163,9158,9453
9159,9154,9454
9158,9151,9456
9154,9148,9462
9151,9142,9463
9148,9141,9468
9142,9140,9477
9141,9129,9478
9140,9125,9480
9129,9124,9485
9125,9122,9486
9124,9119,9487
9122,9118,9489
9119,9116,9496
9118,9111,9500
9116,9105,9502
9111,9100,9510
9105,9091,9514
9100,9087,9519
9091,9082,9521
9087,9081,9528
9082,9075,9530
9081,9067,9533
9075,9064,9540
9067,9059,9542
9064,9058,9543
9059,9054,9545
9058,9049,9552
9054,9041,9555
9049,9039,9556
9041,9038,9558
9039,9037,9560
9038,9033,9562
9037,9030,9564
9033,9026,9567
9030,9025,9568
9026,9021,9569
9025,9020,9570
9021,9018,9572
9020,9015,9576
9018,9011,9578
9015,9007,9580
9011,9005,9586
9007,9000,9589
9005,8997,9595
9000,8988,9597
8997,8986,9599
8988,8983,9600
8986,8978,9603
8983,8976,9605
8978,8975,9607
8976,8973,9608
8975,8971,9612
8973,8968,9618
8971,8952,9619
8968,8951,9621
8952,8950,9623
8951,8949,9624
8950,8948,9628
8949,8942,9629
8948,8941,9630
8942,8940,9635
8941,8931,9636
8940,8930,9639
8931,8928,9640
8930,8927,9642
8928,8925,9647
8927,8918,9649
8925,8916,9650
8918,8912,9653
8916,8908,9654
8912,8907,9655
8912,8906,9663
8908,8898,9665
8907,8892,9667
8906,8888,9670
8898,8885,9672
8892,8884,9673
8888,8879,9675
8885,8878,9678
8884,8875,9680
8879,8870,9685
8878,8861,9686
8875,8860,9688
8870,8858,9693
8861,8849,9695
8860,8842,9698
8858,8840,9699
8849,8839,9702
8842,8836,9703
8840,8832,9706
8839,8827,9710
8836,8824,9711
8832,8823,9713
8827,8820,9716
8824,8813,9717
8823,8809,9719
8820,8807,9727
8813,8798,9728
8809,8792,9729
8807,8791,9733
8798,8782,9734
8792,8781,9736
8791,8780,9742
8782,8776,9744
8781,8769,9748
8780,8762,9752
8776,8753,9753
8769,8749,9755
8762,8747,9756
8753,8745,9761
8749,8742,9763
8747,8738,9765
8745,8730,9766
8742,8726,9770
8738,8723,9771
8730,8721,9774
8726,8719,9775
8723,8717,9776
8721,8710,9777
8719,8709,9778
8717,8704,9783
8710,8698,9784
8709,8697,9785
8704,8694,9789
8698,8688,9791
8697,8683,9792
8694,8681,9796
8688,8671,9800
8683,8670,9804
8681,8661,9806
8671,8655,9808
8670,8651,9812
8661,8638,9813
8655,8637,9815
8651,8635,9816
8638,8629,9819
8637,8625,9820
8635,8624,9821
8629,8619,9823
8625,8618,9825
8624,8616,9827
8619,8609,9831
8618,8603,9832
8616,8596,9833
8609,8594,9838
8603,8586,9842
8596,8581,9844
8594,8573,9846
8586,8566,9847
8581,8563,9848
8573,8562,9849
8566,8560,9851
8563,8558,9853
8562,8554,9854
8560,8551,9855
8558,8548,9856
8554,8542,9861
8551,8539,9862
8548,8526,9864
8542,8525,9865
8539,8522,9870
8526,8521,9876
8525,8501,9883
8522,8490,9884
8521,8479,9887
8501,8469,9888
8490,8468,9889
8479,8465,9893
8469,8460,9897
8468,8453,9898
8465,8444,9902
8460,8433,9903
8453,8429,9904
8444,8427,9907
8433,8421,9909
8429,8419,9911
8427,8411,9912
8421,8406,9919
8419,8389,9920
8411,8387,9921
8406,8384,9924
8389,8377,9925
8387,8375,9926
8384,8368,9927
8377,8367,9930
8375,8359,9931
8368,8352,9936
8367,8347,9940
8359,8336,9941
8352,8331,9943
8347,8318,9944
8336,8312,9945
8331,8307,9948
8318,8306,9950
8312,8295,9955
8307,8285,9957
8306,8276,9958
8295,8267,9960
8285,8259,9962
8276,8253,9963
8267,8250,9966
8259,8241,9968
8253,8225,9970
8250,8224,9972
8241,8223,9974
8225,8214,9975
8224,8207,9977
8223,8196,9978
8214,8195,9983
8207,8175,9984
8196,8173,9986
8195,8164,9988
8175,8159,9989
8173,8154,9994
8164,8132,9997
8164,8119,9999
8159,8107,10000
8154,8105,10001
8132,8101,10002
8119,8097,10003
8107,8094,10004
8105,8082,10006
8101,8081,10007
8097,8077,10008
8094,8076,10010
8082,8062,10013
8081,8053,10016
8077,8041,10017
8076,8022,10018
8062,8021,10019
8053,8016,10022
8041,8007,10024
8022,7997,10025
8021,7993,10026
8016,7986,10028
8007,7980,10031
7997,7967,10034
7993,7940,10037
7986,7926,10040
7980,7915,10043
7967,7906,10044
7940,7885,10045
7926,7876,10047
7926,7874,10048
7915,7871,10049
7906,7869,10050
7885,7858,10052
7876,7857,10054
7874,7832,10055
7871,7824,10056
7869,7815,10057
7858,7814,10058
7857,7797,10059
7832,7792,10066
7824,7764,10068
7815,7727,10073
7814,7691,10075
7797,7675,10076
7792,7664,10077
7764,7646,10079
7727,7632,10081
7691,7619,10083
7675,7616,10084
7664,7595,10086
7646,7568,10088
7632,7558,10090
7619,7554,10093
7616,7494,10094
7595,7437,10095
7568,7431,10096
7558,7428,10102
7554,7283,10103
